COMPANY CODE,APPLICATION,TRAN_TY,TRAN_TX_FLAG,SUPPLY_FROM_LOC,CUST_HOME_LOC,COMPANY GSTIN,COMPANY_LEGALNAME,COMPANY_TRADENAME,COMPANY_ADDRESS1,COMPANY_ADDRESS2,COMPANY_LOCATION,COMPANY_PINCODE,COMPANY_STATECODE,COMPANY_PHONE,COMPANY_EMAIL,ERP TRANSACTION REF,POSTING DATE,Document Number,DOCUMENT DATE,GST_FP,LEDGER_CODE,LEDGER_DESCRIPTION,TRAN_ORG_DOC,ORG_DOC_DATE,ORG_DOC_TYP,PARENT_DOC_NO,PARENT_DOC_DATE,REASON,TRAN_INVOICE_TYPE,INVOICE_TYPE,INVOICE_SUB_TYPE,RCM_APP,ECOMM_GSTIN,TRAN_INR_FLAG,A_TAG,TRAN_SHIPPING_TYPE,IGST_ACT,REFUND_FLAG,CLAIM_FLAG,DOC_INVALID,TRAN_CUST_TYPE,TRAN_CUST_ACCNO,TRAN_CUST_GSTINNO,CUSTOMER_LEGALNAME,TRAN_CUST_TRADE_NM,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_LOCATION,CUSTOMER_PINCODE,TRAN_CUST_STATE,CUSTOMER_PHONE,CUSTOMER_EMAIL,POS,ITEM_LINENO,TRAN_INV_VALUE,INV_ROUND_OFF_VAL,HSN,SKU,ITEM_PRODUCTDESC,ITEM_IS_SERVICE,UQC,QUANTITY,ITEM_FREEQTY,ITEM_UNITPRICE,ITEM_DISCOUNT,INVOICE_DISCOUNT,ITEM_OTHERCHARGES,INVOICE_OTHERCHARGES,TRAN_TAX_VAL,IGST_Rate,IGST_AMT,CGST_Rate,CGST_AMT,SGST_Rate,SGST_AMT,CESS_RATE,CESS_AMT,CESS_NADVL_AMT,STCESS_ADVL_RATE,STCESS_ADVL_AMT,STCESS_NADVL_AMT,RATIO_ITC_REVERSAL_NUMERATOR,RATIO_ITC_REVERSAL_DENOMINATOR,DIFFERENTIATOR,ITEM_PRETAXVALUE,ITEM_BARCODE,ITEM_ORIGIN_COUNTRY,ITEM_ATTRIBUTENAME,ITEM_ATTRIBUTEVALUE,SHIP_BILL_No,SHIP_BILL_DATE,SHIP_PORT_CODE,INV_FOREIGN_VAL,TRAN_FOREIGN_CURRENCY,TRAN_FOREIGN_COUNTRY,EXPORT_DUTY,DISPATCH_GSTIN,DISPATCH_LEGALNAME,DISPATCH_TRADENAME,DISPATCH_ADDRESS1,DISPATCH_ADDRESS2,Dispatch_Location,DISPATCH_PINCODE,DISPATCH_STATECODE,DISPATCH_PHONE,DISPATCH_EMAIL,SHIPPING_GSTIN,SHIPPING_LEGALNAME,SHIPPING_TRADENAME,SHIPPING_ADDRESS1,SHIPPING_ADDRESS2,SHIPPING_LOCATION,SHIPPING_PINCODE,SHIPPING_STATECODE,SHIPPING_PHONE,SHIPPING_EMAIL,REFERENCE_VENDORPO,REFERENCE_VENDORPO_DATE,ORDER_LINENO,REFERENCE_LOTNO,REFERENCE_CONTRACTNO,REFERENCE_PROJECTNO,REFERENCE_OTHER,REFERENCE_ADVICENO,REFERENCE_ADVICEDATE,REFERENCE_INVOICE_STARTDATE,REFERENCE_INVOICE_ENDDATE,REFERENCE_INVOICE_REMARKS,REFERENCE_PREC_OTHERREFERENCE,ADDITIONAL_DOCS_URL,ADDITIONAL_DOCS_BASE64,ADDITIONAL_DOCS_OTHERINFO,PAYMENT_PAYEENAME,PAYMENT_ACCOUNT,PAYMENT_MODE,PAYMENT_BRANCH,PAYMENT_DUEDATE,PAYMENT_PAIDAMOUNT,PAYMENT_PAYMENTDUE,PAYMENT_CREDITTRANSFER,PAYMENT_CREDITDAYS,PAYMENT_DIRECTDEBIT,PAYMENT_TERMS,PAYMENT_INSTRUCTION,BATCH_NAME,BATCH_EXPIRYDATE,BATCH_WARRANTYDATE,EWAY_TRANSPORTERID,EWAY_TRANSPORTERNAME,EWAY_TRANSPORTMODE,EWAY_TRANSPORTDISTANCE,EWAY_TRANSPORTERDOCNO,EWAY_TRANSPORTERDOCDATE,EWAY_TRANSPORTVEHICLENO,EWAY_TRANSPORTVEHICLETYPE,DAT01,DAT02,DAT03,DAT04,DAT05,MIS01,MIS02,MIS03,MIS04,MIS05,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/AUG24/010,20240807,AP/AUG24/010,20240807,202408,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,1,               68136,                0.00,997319,,Rental services other machinery & equipment,Y,OTH,1,0,57742.0000,0,0,0,0,57742.0000,                0.00,0.0000,                9.00,5197.0000,                9.00,5197.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1801,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/AUG24/010,20240807,AP/AUG24/010,20240807,202408,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,2,               64687,                0.00,997319,,Rental services other machinery & equipment,Y,OTH,1,0,54819.0000,0,0,0,0,54819.0000,                0.00,0.0000,                9.00,4934.0000,                9.00,4934.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1801,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/AUG24/011,20240807,AP/AUG24/011,20240807,202408,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,1,               68136,                0.00,997319,,Rental services other machinery & equipment,Y,OTH,1,0,57742.0000,0,0,0,0,57742.0000,                0.00,0.0000,                9.00,5197.0000,                9.00,5197.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1801,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/AUG24/011,20240807,AP/AUG24/011,20240807,202408,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,2,               64687,                0.00,997319,,Rental services other machinery & equipment,Y,OTH,1,0,54819.0000,0,0,0,0,54819.0000,                0.00,0.0000,                9.00,4934.0000,                9.00,4934.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1801,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/JUL24/021,20240715,AP/JUL24/021,20240715,202407,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,1,               80716,                0.00,997315,,Rental services computers,Y,OTH,1,0,68404.0000,0,0,0,0,68404.0000,                0.00,0.0000,                9.00,6156.0000,                9.00,6156.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1759,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/JUL24/022,20240715,AP/JUL24/022,20240715,202407,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,1,               80716,                0.00,997315,,Rental services computers,Y,OTH,1,0,68404.0000,0,0,0,0,68404.0000,                0.00,0.0000,                9.00,6156.0000,                9.00,6156.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1759,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/JUL24/024,20240716,AP/JUL24/024,20240716,202407,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,1,               19591,                0.00,997315,,Rental services computers,Y,OTH,1,0,16603.0000,0,0,0,0,16603.0000,                0.00,0.0000,                9.00,1494.0000,                9.00,1494.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1795,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/JUL24/025,20240716,AP/JUL24/025,20240716,202407,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,HUL C O.K.RAMMOHAN RAO C F AGENTS ,SRI KANAKADURGA ENTERPRISES DANKULA ESTATES BANDAR ROA,Andhra Pradesh,522005,37,,,37,1,               19591,                0.00,997315,,Rental services computers,Y,OTH,1,0,16603.0000,0,0,0,0,16603.0000,                0.00,0.0000,                9.00,1494.0000,                9.00,1494.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1795,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/JUN24/001,20240601,AP/JUN24/001,20240601,202406,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,Place of Supply Address: HUL C O.K.RAMMOHAN RAO C F AGENTS SRI KANAKADURGA ENTERPRISES DANKULA E,STATES BANDAR ROA Krishna Andhra Pradesh India,Andhra Pradesh,520011,37,,,37,1,              134754,                0.00,997319,,Rental services other machinery & equipment,Y,OTH,1,0,114198.0000,0,0,0,0,114198.0000,                0.00,0.0000,                9.00,10278.0000,                9.00,10278.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1061,
OPC,ERP Applications,Lease Rental,E,Andhra Pradesh,NA,37AAACO7555K1Z0,OPC Asset Solutions Private Limited,OPC Asset Solutions Private Limited,40 6 3 3 Co Operative Bank Colony ,Gandhi Nagar Moghalrajpuram NTR,Andhra Pradesh,520010,37,,,AP/JUN24/002,20240601,AP/JUN24/002,20240601,202406,01,Lease Rental,,,,,,,IN,TAX INVOICE,Regular,N,,Y,N,,N,N,N,N,B2B,,37AAACH1004N2ZS,Hindustan Unilever Ltd.,Hindustan Unilever Ltd.,Place of Supply Address: HUL C O.K.RAMMOHAN RAO C F AGENTS SRI KANAKADURGA ENTERPRISES DANKULA E,STATES BANDAR ROA Krishna Andhra Pradesh India,Andhra Pradesh,520011,37,,,37,1,              194932,                0.00,997319,,Rental services other machinery & equipment,Y,OTH,1,0,165196.0000,0,0,0,0,165196.0000,                0.00,0.0000,                9.00,14868.0000,                9.00,14868.0000,                0.00,0.0000,0,0,0,0,0,0,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,HUL1077,
